TDI Format 1.5	Temperature	Resistance
 	2.139E+2	5.20839E+0	5.522294E+2
 	2.137E+2	5.2096E+0	5.532919E+2
 	2.135E+2	5.21015E+0	5.543544E+2
 	2.134E+2	5.21206E+0	5.554169E+2
 	2.132E+2	5.21257E+0	5.564794E+2
 	2.131E+2	5.21372E+0	5.575576E+2
 	2.129E+2	5.21481E+0	5.586201E+2
 	2.127E+2	5.21618E+0	5.596826E+2
 	2.125E+2	5.21699E+0	5.607608E+2
 	2.124E+2	5.21784E+0	5.618233E+2
 	2.122E+2	5.2193E+0	5.628858E+2
 	2.121E+2	5.22015E+0	5.639483E+2
 	2.119E+2	5.22134E+0	5.650108E+2
 	2.117E+2	5.22253E+0	5.66089E+2
 	2.115E+2	5.22377E+0	5.671515E+2
 	2.114E+2	5.22431E+0	5.68214E+2
 	2.112E+2	5.2258E+0	5.692766E+2
 	2.111E+2	5.22701E+0	5.703391E+2
 	2.109E+2	5.22789E+0	5.714172E+2
 	2.107E+2	5.22904E+0	5.724797E+2
 	2.106E+2	5.2298E+0	5.735423E+2
 	2.104E+2	5.23087E+0	5.746048E+2
 	2.102E+2	5.23213E+0	5.756673E+2
 	2.101E+2	5.23326E+0	5.767298E+2
 	2.099E+2	5.23439E+0	5.777923E+2
 	2.097E+2	5.23501E+0	5.788705E+2
 	2.096E+2	5.23627E+0	5.79933E+2
 	2.094E+2	5.23706E+0	5.810112E+2
 	2.093E+2	5.2382E+0	5.820737E+2
 	2.091E+2	5.23918E+0	5.831362E+2
 	2.09E+2	5.24007E+0	5.841987E+2
 	2.088E+2	5.24116E+0	5.852769E+2
 	2.087E+2	5.2421E+0	5.863394E+2
 	2.085E+2	5.24305E+0	5.874019E+2
 	2.084E+2	5.24405E+0	5.884644E+2
 	2.082E+2	5.24533E+0	5.895426E+2
